10;;;
Building Graph;Component Classification;Deployment Analysis;End
0,005;0,001;0,006;
Building Graph;Component Classification;Deployment Analysis;End
0,007;0,002;0,001;
Building Graph;Component Classification;Deployment Analysis;End
0,005;0,002;0,003;
100;;;
Building Graph;Component Classification;Deployment Analysis;End
0,008;0,001;0,01;
Building Graph;Component Classification;Deployment Analysis;End
0,009;0,002;0,008;
Building Graph;Component Classification;Deployment Analysis;End
0,01;0,001;0,008;
1000;;;
Building Graph;Component Classification;Deployment Analysis;End
0,012;0,002;0,009;
Building Graph;Component Classification;Deployment Analysis;End
0,012;0,002;0,008;
Building Graph;Component Classification;Deployment Analysis;End
0,021;0,004;0,008;
Building Graph;Component Classification;Deployment Analysis;End
0,013;0,003;0,01;
10000;;;
Building Graph;Component Classification;Deployment Analysis;End
0,078;0,014;0,017;
Building Graph;Component Classification;Deployment Analysis;End
0,062;0,013;0,026;
Building Graph;Component Classification;Deployment Analysis;End
0,079;0,007;0,02;
100000;;;
Building Graph;Component Classification;Deployment Analysis;End
0,537;0,064;0,085;
Building Graph;Component Classification;Deployment Analysis;End
0,553;0,074;0,114;
Building Graph;Component Classification;Deployment Analysis;End
0,566;0,067;0,108;
1000000;;;
Building Graph;Component Classification;Deployment Analysis;End;
5,467000;0,584000;9,709000;
Building Graph;Component Classification;Deployment Analysis;End;
5,646000;0,560000;9,628000;
Building Graph;Component Classification;Deployment Analysis;End;
5,491000;0,557000;9,172000;
Start - Reading Model;Building Graph;End;
8,913000;0,001000;
Start - Reading Model;Building Graph;End;
9,898000;0,001000;
Start - Reading Model;Building Graph;End;
25,597000;0,001000;
Start - Reading Model;Building Graph;End;
14,948000;0,002000;
Start - Reading Model;Building Graph;End;
10,075000;0,001000;
Start - Reading Model;Building Graph;End;
8,658000;0,003000;
Start - Reading Model;Building Graph;End;
8,621000;0,016000;
Start - Reading Model;Building Graph;End;
8,749000;0,019000;
Start - Reading Model;Building Graph;End;
8,911000;0,007000;
Start - Reading Model;Building Graph;End;
8,860000;0,001000;
Start - Reading Model;Building Graph;End;
9,430000;0,082000;
Start - Reading Model;Building Graph;End;
9,591000;0,000000;
Start - Reading Model;Building Graph;End;
9,031000;0,019000;
Start - Reading Model;Building Graph;End;
11,401000;0,001000;
Start - Reading Model;Building Graph;End;
9,386000;0,007000;
Start - Reading Model;Building Graph;End;
10,156000;0,001000;
Start - Reading Model;Building Graph;End;
8,866000;0,010000;
Start - Reading Model;Building Graph;End;
8,881000;0,018000;
Start - Reading Model;Building Graph;End;
11,649000;0,021000;
Start - Reading Model;Building Graph;End;
9,104000;0,018000;
Start - Reading Model;Building Graph;End;
9,113000;0,008000;
Start - Reading Model;Building Graph;End;
9,110000;0,002000;
Start - Reading Model;Building Graph;End;
9,119000;0,001000;
Start - Reading Model;Building Graph;End;
9,631000;0,001000;
Start - Reading Model;Building Graph;End;
9,663000;0,001000;
Start - Reading Model;Building Graph;End;
10,074000;0,001000;
Start - Reading Model;Building Graph;End;
9,160000;0,000000;
Start - Reading Model;Building Graph;End;
9,260000;0,019000;
Start - Reading Model;Building Graph;End;
8,920000;0,021000;
Start - Reading Model;Building Graph;End;
9,223000;0,021000;
Start - Reading Model;Building Graph;End;
9,242000;0,035000;
Start - Reading Model;Building Graph;End;
9,428000;0,001000;
Start - Reading Model;Building Graph;End;
9,222000;0,001000;
Start - Reading Model;Building Graph;End;
9,178000;0,001000;
Start - Reading Model;Building Graph;End;
9,776000;0,001000;
Start - Reading Model;Building Graph;End;
9,265000;0,002000;
Start - Reading Model;Building Graph;End;
10,561000;0,020000;
Start - Reading Model;Building Graph;End;
9,588000;0,020000;
Start - Reading Model;Building Graph;End;
9,326000;0,023000;
Start - Reading Model;Building Graph;End;
9,038000;0,019000;
Start - Reading Model;Building Graph;End;
9,106000;0,001000;
Start - Reading Model;Building Graph;End;
9,229000;0,001000;
Start - Reading Model;Building Graph;End;
9,144000;0,001000;
Start - Reading Model;Building Graph;End;
9,224000;0,001000;
Start - Reading Model;Building Graph;End;
9,005000;0,000000;
