UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;453;1547;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;405;1595;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;636;1364;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;385;1615;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;624;1376;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;620;1380;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;433;1567;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;418;1582;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;424;1576;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;438;1562;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;448;1552;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;455;1545;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;445;1555;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;407;1593;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;989;3011;0;0;
SKM;25%;0;0;0;2000;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;454;1546;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;604;1396;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;420;1580;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;977;3023;0;0;
SKM;25%;0;0;0;2000;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;939;3061;
SKM;25%;0;2000;0;0;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;422;1578;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;402;1598;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;412;1588;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;436;1564;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;2000;0;0;0;
SEM;25%;0;0;573;1427;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;432;1568;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;411;1589;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;458;1542;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;484;1516;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;616;1384;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;438;1562;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;451;1549;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;404;1596;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;445;1555;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;406;1594;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;443;1557;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;382;1618;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;986;3014;0;0;
SKM;25%;0;0;0;2000;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;409;1591;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;415;1585;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;585;1415;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;584;1416;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;386;1614;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;423;1577;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;603;1397;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;442;1558;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;429;1571;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;424;1576;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;418;1582;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;427;1573;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;613;1387;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;451;1549;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;417;1583;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;450;1550;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;594;1406;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;395;1605;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;974;3026;
SKM;25%;0;2000;0;0;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;441;1559;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;427;1573;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;426;1574;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;432;1568;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;431;1569;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;437;1563;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;598;1402;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;411;1589;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;938;3062;0;0;
SKM;25%;0;0;0;2000;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;439;1561;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;579;1421;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;455;1545;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;2000;0;0;0;
SEM;25%;0;0;682;1318;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;1363;2637;
SKM;25%;0;2000;0;0;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;419;1581;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;439;1561;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;450;1550;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;442;1558;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;391;1609;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;583;1417;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;439;1561;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;427;1573;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;0;0;2000;0;
SEM;25%;616;1384;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;403;1597;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;976;3024;
SKM;25%;0;2000;0;0;
SEM;25%;2000;0;0;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;0;0;4000;
SKM;25%;433;1567;0;0;
SEM;25%;0;0;2000;0;

UG;UGM;C1;C2;C3;C4
CR;50%;0;4000;0;0;
SKM;25%;0;0;432;1568;
SEM;25%;2000;0;0;0;

