Filter;BeforeTime;AfterTime;BeforeMemory;AfterMemory;DiffTime;DiffMemory
RecordSwitch-0;20575429857582;20575529137838;20514736;13898832;99280256;-6615904
RecordSwitch-0;20575659125739;20575753806392;13901480;13687496;94680653;-213984
RecordSwitch-0;20575834370955;20576069116816;13688008;13692448;234745861;4440
RecordSwitch-0;20576168835110;20576402719483;13693072;13696288;233884373;3216
RecordSwitch-0;20576508235196;20576762161533;13696912;13702984;253926337;6072
RecordSwitch-0;20576845564631;20577081189810;13703608;13705928;235625179;2320
RecordSwitch-0;20577162595195;20577398660033;13706552;13707792;236064838;1240
RecordSwitch-0;20577478622850;20577715047924;13708416;13709176;236425074;760
RecordSwitch-0;20577795416768;20578388677141;13709800;13717360;593260373;7560
RecordSwitch-0;20578470763693;20578710184121;13718256;13718304;239420428;48
RecordSwitch-0;20578791497928;20579030652129;13719200;13720488;239154201;1288
RecordSwitch-0;20579116248659;20579355684486;13721384;13722840;239435827;1456
RecordSwitch-0;20579438252434;20579677762820;13723736;13724584;239510386;848
RecordSwitch-0;20579760381421;20580373939044;13725480;13728448;613557623;2968
RecordSwitch-0;20580457349841;20580696679501;13729344;13729392;239329660;48
RecordSwitch-0;20580779473560;20581020080459;13730288;13731552;240606899;1264
RecordSwitch-0;20581107846108;20581348058328;13732448;13733960;240212220;1512
RecordSwitch-0;20581430905875;20581673222379;13734856;13735552;242316504;696
RecordSwitch-0;20581785180211;20582527205770;13736448;13738776;742025559;2328
RecordSwitch-0;20582609349458;20582864118643;13739672;13740376;254769185;704
RecordSwitch-0;20582957164657;20583199708082;13741272;13742528;242543425;1256
RecordSwitch-0;20583285482502;20583873919593;13743424;13748248;588437091;4824
RecordSwitch-0;20583964616167;20584205794826;13749144;13748344;241178659;-800
RecordSwitch-0;20584290160311;20584548578057;13749240;13751624;258417746;2384
RecordSwitch-0;20584660107171;20585378054008;13752520;13761192;717946837;8672
RecordSwitch-0;20585460395036;20585700532291;13762088;13763784;240137255;1696
RecordSwitch-0;20585783754257;20586027227652;13764680;13762464;243473395;-2216
RecordSwitch-0;20586111484945;20586716189417;13763368;13767168;604704472;3800
RecordSwitch-0;20586797830637;20587044114202;13768064;13768080;246283565;16
RecordSwitch-0;20587130529268;20587370159193;13768976;13770232;239629925;1256
RecordSwitch-0;20587451477456;20588096023132;13771128;13852920;644545676;81792
RecordSwitch-0;20588177890463;20588418466161;13853824;13854536;240575698;712
RecordSwitch-0;20588500425881;20588744090943;13855432;13856728;243665062;1296
RecordSwitch-0;20588826247598;20589456359089;13857624;13866888;630111491;9264
RecordSwitch-0;20589546237127;20589800470212;13867784;13867800;254233085;16
RecordSwitch-0;20589886917695;20590148644027;13868696;13869952;261726332;1256
RecordSwitch-0;20590248532511;20590934225401;13870848;13876848;685692890;6000
RecordSwitch-0;20591017430349;20591259184414;13877744;13877800;241754065;56
RecordSwitch-0;20591341382806;20591631829605;13878696;13880032;290446799;1336
RecordSwitch-0;20591727206824;20592624570977;13880928;13893200;897364153;12272
RecordSwitch-0;20592748957988;20593066248295;13894104;13894248;317290307;144
RecordSwitch-0;20593150040805;20593395052398;13895144;13896440;245011593;1296
RecordSwitch-0;20593478907717;20594191905656;13897336;13906272;712997939;8936
RecordSwitch-0;20594277740858;20594534682809;13907168;13907184;256941951;16
RecordSwitch-0;20594617717161;20594862120525;13908080;13910184;244403364;2104
RecordSwitch-0;20594955944148;20595652923103;13911080;13922984;696978955;11904
RecordSwitch-0;20595749338080;20596028376438;13923888;13924008;279038358;120
RecordSwitch-0;20596128329352;20596383434866;13924904;13926224;255105514;1320
RecordSwitch-0;20596471790104;20597223640116;13927120;13941512;751850012;14392
RecordSwitch-0;20597335917258;20597701111344;13942416;13942480;365194086;64
RecordSwitch-0;20597805717754;20598057063678;13943376;13944672;251345924;1296
RecordSwitch-0;20598148417511;20598838140676;14607504;14635320;689723165;27816
RecordSwitch-0;20598924405812;20599236227329;14636224;14628056;311821517;-8168
RecordSwitch-0;20599323687445;20599572488615;14628960;14631312;248801170;2352
RecordSwitch-0;20599658907733;20599936276603;14632280;14625040;277368870;-7240
RecordSwitch-0;20600033583459;20600317638387;14625944;14627088;284054928;1144
RecordSwitch-0;20600405676746;20601185373580;14627984;14638152;779696834;10168
RecordSwitch-0;20601346268896;20602083775491;14639056;14649040;737506595;9984
RecordSwitch-0;20602187396821;20602469728772;14649936;14651424;282331951;1488
RecordSwitch-0;20602557538590;20602866983518;14652320;14653584;309444928;1264
RecordSwitch-0;20602996053199;20603832347713;14654480;14671600;836294514;17120
RecordSwitch-0;20603929901346;20604196479324;14672504;14672488;266577978;-16
RecordSwitch-0;20604298613109;20604642206771;14673384;14674808;343593662;1424
RecordSwitch-0;20604737620460;20605550098021;14675704;14689712;812477561;14008
RecordSwitch-0;20605662969614;20605955938880;14690616;14690552;292969266;-64
RecordSwitch-0;20606059411092;20606322736810;14691448;14692776;263325718;1328
RecordSwitch-0;20606414389287;20607147751337;14693672;14716816;733362050;23144
RecordSwitch-0;20607231497247;20607532346741;14717720;14707344;300849494;-10376
RecordSwitch-0;20607621228354;20607934700719;14708248;14710824;313472365;2576
RecordSwitch-0;20608030544342;20608865175040;14711720;14725328;834630698;13608
RecordSwitch-0;20608952778603;20609212952149;14726232;14726208;260173546;-24
RecordSwitch-0;20609299767973;20609570652583;14727104;14728392;270884610;1288
