Filter;BeforeTime;AfterTime;BeforeMemory;AfterMemory;DiffTime;DiffMemory
RecordSwitch-0;18570969325583;18571058987641;19716584;13535000;89662058;0
RecordSwitch-0;18571190897479;18571285942422;13851184;13339640;95044943;0
RecordSwitch-0;18571365279181;18571598131064;13340144;13344200;232851883;0
TEntryCall-0;18571442214227;18571519300824;13343872;13344432;77086597;0
RecordSwitch-0;18571693136701;18571925774225;13344688;13348040;232637524;0
TEntryCall-0;18571770449813;18571847511692;13347464;13347976;77061879;0
RecordSwitch-0;18572032418464;18572296340659;13663912;13354736;263922195;0
TEntryCall-0;18572116420876;18572202307135;13356696;13357248;85886259;0
RecordSwitch-0;18572382489093;18572615745787;13355224;13357680;233256694;0
TEntryCall-0;18572459518555;18572536720638;13358032;13358608;77202083;0
RecordSwitch-0;18572694712989;18572931756828;13358168;13359296;237043839;0
TEntryCall-0;18572772452794;18572850006605;13359704;13360256;77553811;0
RecordSwitch-0;18573014262779;18573249551628;13359784;13360952;235288849;0
TEntryCall-0;18573091968545;18573169629738;13361384;13361960;77661193;0
RecordSwitch-0;18573328533419;18573814169741;13361440;13369960;485636322;0
TEntryCall-0;18573405616369;18573733290326;13362536;13369400;327673957;0
TEntryCallSequence-0;18573484325449;;13363048;;;
TEntryEventSequence-0;18573564532612;18573650689150;13362752;13686040;86156538;0
RecordSwitch-0;18573898709874;18574137062559;13368064;13370064;238352685;0
TEntryCall-0;18573978194132;18574056351308;13369000;13369488;78157176;0
RecordSwitch-0;18574218133236;18574454332605;13369552;13371712;236199369;0
TEntryCall-0;18574296675367;18574374389643;13370648;13371160;77714276;0
RecordSwitch-0;18574534833144;18574771359522;13371712;13374064;236526378;0
TEntryCall-0;18574612779608;18574690942458;13373056;13373608;78162850;0
RecordSwitch-0;18574852313092;18575090044176;13374064;13376856;237731084;0
TEntryCall-0;18574931249903;18575009552958;13375680;13376424;78303055;0
RecordSwitch-0;18575172267691;18575664497277;13375832;13385112;492229586;0
TEntryCall-0;18575251678605;18575581121734;13376928;13384624;329443129;0
TEntryCallSequence-0;18575330090257;;13377584;;;
TEntryEventSequence-0;18575409148228;18575499946106;13378048;13699368;90797878;0
RecordSwitch-0;18575746815613;18575986717032;13385600;13380088;239901419;0
TEntryCall-0;18575826614723;18575905218042;13379024;13379512;78603319;0
RecordSwitch-0;18576069430858;18576310751747;13380576;13382248;241320889;0
TEntryCall-0;18576148457222;18576227108357;13381184;13381696;78651135;0
RecordSwitch-0;18576393995596;18576642186916;13382736;13384616;248191320;0
TEntryCall-0;18576475185811;18576557230626;13383608;13384160;82044815;0
RecordSwitch-0;18576728052104;18576970395352;13385104;13386208;242343248;0
TEntryCall-0;18576808102853;18576887559961;13385200;13385776;79457108;0
