Filter;BeforeTime;AfterTime;BeforeMemory;AfterMemory;DiffTime;DiffMemory
TEntryCall-0;20575912188966;20575988905601;13691736;13692680;76716635;944
TEntryCall-0;20576245924949;20576323295602;13696032;13696544;77370653;512
TEntryCall-0;20576593648164;20576672022941;13705216;13705768;78374777;552
TEntryCall-0;20576923913880;20577001562511;13706552;13707128;77648631;576
TEntryCall-0;20577240033519;20577318528645;13708144;13708696;78495126;552
TEntryCall-0;20577555889768;20577633064297;13710152;13710728;77174529;576
TEntryCall-0;20577873086065;20578297181482;13711032;13719424;424095417;8392
TEntryCall-0;20578550348850;20578628157136;13719600;13720088;77808286;488
TEntryCall-0;20578869713455;20578948036365;13720784;13721296;78322910;512
TEntryCall-0;20579194525375;20579272878676;13723136;13723688;78353301;552
TEntryCall-0;20579517033238;20579595419766;13725760;13726416;78386528;656
TEntryCall-0;20579838808066;20580289419577;13726984;13734720;450611511;7736
TEntryCall-0;20580535668293;20580614204346;13730688;13731176;78536053;488
TEntryCall-0;20580857852794;20580936749895;13731792;13732304;78897101;512
TEntryCall-0;20581186635016;20581265234283;13734336;13734888;78599267;552
TEntryCall-0;20581509574839;20581588220301;13736624;13737200;78645462;576
TEntryCall-0;20581907895707;20582444996032;13737952;13746288;537100325;8336
TEntryCall-0;20582690999188;20582781378883;13741672;13742160;90379695;488
TEntryCall-0;20583036714965;20583116604033;13742768;13743280;79889068;512
TEntryCall-0;20583365847698;20583791820479;13744920;13753952;425972781;9032
TEntryCall-0;20584043454511;20584123481758;13751144;13751632;80027247;488
TEntryCall-0;20584373755481;20584452607197;13750776;13751288;78851716;512
TEntryCall-0;20584791243452;20585295291961;13753400;14443784;504048509;690384
TEntryCall-0;20585539854981;20585619288992;13763600;13764088;79434011;488
TEntryCall-0;20585864427823;20585943809156;13766216;13766728;79381333;512
TEntryCall-0;20586194254285;20586634741889;13764904;13774000;440487604;9096
TEntryCall-0;20586876815669;20586955796244;13769408;13769896;78980575;488
TEntryCall-0;20587210132659;20587288771232;13770472;13770984;78638573;512
TEntryCall-0;20587530441822;20588005714350;13772624;13865528;475272528;92904
TEntryCall-0;20588257311507;20588336709049;13855824;13856312;79397542;488
TEntryCall-0;20588581061762;20588660987299;13856968;13857480;79925537;512
TEntryCall-0;20588906278491;20589370508488;13859160;13871800;464229997;12640
TEntryCall-0;20589630935699;20589711716242;13869128;13869616;80780543;488
TEntryCall-0;20589967845330;20590048584136;13870192;13870704;80738806;512
TEntryCall-0;20590382718850;20590850618075;13872344;13885320;467899225;12976
TEntryCall-0;20591097800003;20591177414335;13879088;13879576;79614332;488
TEntryCall-0;20591420862201;20591515765318;13880440;13880952;94903117;512
TEntryCall-0;20591817000172;20592487632009;13881768;13900464;670631837;18696
TEntryCall-0;20592869833399;20592980327187;13895448;13896184;110493788;736
TEntryCall-0;20593230337925;20593311071868;13896680;13897192;80733943;512
TEntryCall-0;20593565329671;20594108970582;13898872;13915080;543640911;16208
TEntryCall-0;20594360052305;20594451530134;13908512;13909000;91477829;488
TEntryCall-0;20594698732323;20594779478827;13909792;13910304;80746504;512
TEntryCall-0;20595037189473;20595541481516;13913448;13932896;504292043;19448
TEntryCall-0;20595831802698;20595924843850;13925232;13925720;93041152;488
TEntryCall-0;20596208955102;20596291308692;13926400;13926912;82353590;512
TEntryCall-0;20596551918250;20597134727302;13928616;13948176;582809052;19560
TEntryCall-0;20597462851858;20597584261344;13943760;13944248;121409486;488
TEntryCall-0;20597889782569;20597970544066;13944912;13945424;80761497;512
TEntryCall-0;20598240111320;20598755103488;13947104;14644960;514992168;697856
TEntryCall-0;20599019427657;20599132150941;13959264;13959752;112723284;488
TEntryCall-0;20599406494471;20599487636061;13961064;13961552;81141590;488
TEntryCall-0;20599755450757;20599851532241;13963232;13963744;96081484;512
TEntryCall-0;20600124198179;20600213259708;13965392;13965904;89061529;512
TEntryCall-0;20600493134431;20601049910812;13966928;14649320;556776381;682392
TEntryCall-0;20601450326239;20601988431499;13979896;14661520;538105260;681624
TEntryCall-0;20602296347548;20602382778822;13990992;13991480;86431274;488
TEntryCall-0;20602643720252;20602743722197;13991848;13992360;100001945;512
TEntryCall-0;20603115941911;20603725356204;13994008;14679264;609414293;685256
TEntryCall-0;20604013272026;20604096536135;14011848;14012336;83264109;488
TEntryCall-0;20604404540116;20604516865073;14012992;14013504;112324957;512
TEntryCall-0;20604819880445;20605407769685;14015192;14700264;587889240;685072
TEntryCall-0;20605767891687;20605857405031;14029912;14030400;89513344;488
TEntryCall-0;20606143924075;20606232654543;14031016;14031528;88730468;512
TEntryCall-0;20606515875537;20607061754453;14033208;14727600;545878916;694392
TEntryCall-0;20607314361408;20607422831144;14047272;14047760;108469736;488
TEntryCall-0;20607722479173;20607839245294;14048352;14048864;116766121;512
TEntryCall-0;20608119116370;20608777410607;14051168;14736608;658294237;685440
TEntryCall-0;20609039401139;20609122175343;14065528;14066016;82774204;488
TEntryCall-0;20609382215573;20609466333471;14066632;14067144;84117898;512
