Filter;BeforeTime;AfterTime;BeforeMemory;AfterMemory;DiffTime;DiffMemory
TEntryCallSequence-0;20577964406671;20578213233774;13711544;13718512;248827103;6968
TEntryCallSequence-0;20579917585222;20580178367807;13727640;13733808;260782585;6168
TEntryCallSequence-0;20582019697936;20582356566640;13738728;13745376;336868704;6648
TEntryCallSequence-0;20583445000895;20583709254152;13745576;13753040;264253257;7464
TEntryCallSequence-0;20584912278519;20585200811889;13754056;13767624;288533370;13568
TEntryCallSequence-0;20586273423285;20586553315838;13765728;13773088;279892553;7360
TEntryCallSequence-0;20587609622168;20587923574309;13773280;13864632;313952141;91352
TEntryCallSequence-0;20588988013722;20589285422935;13859816;13870904;297409213;11088
TEntryCallSequence-0;20590464311850;20590765611944;13873000;13884448;301300094;11448
TEntryCallSequence-0;20591920448881;20592358260441;13882424;14574736;437811560;692312
TEntryCallSequence-0;20593646906057;20594017305948;13899528;13914208;370399891;14680
TEntryCallSequence-0;20595122146572;20595458811859;13914104;13932048;336665287;17944
TEntryCallSequence-0;20596632291551;20597015334169;13929272;13947328;383042618;18056
TEntryCallSequence-0;20598322552436;20598671581256;13947760;14644112;349028820;696352
TEntryCallSequence-0;20600577766954;20600936111275;13967584;14648384;358344321;680800
TEntryCallSequence-0;20601541547567;20601899716835;13980552;14660576;358169268;680024
TEntryCallSequence-0;20603234390081;20603630460381;13995032;14678408;396070300;683376
TEntryCallSequence-0;20604908852016;20605297852924;14015848;14699408;389000908;683560
TEntryCallSequence-0;20606606235781;20606970662794;14033864;14726776;364427013;692912
TEntryCallSequence-0;20608201600034;20608679183101;14051824;14735776;477583067;683952
