Filter;BeforeTime;AfterTime;BeforeMemory;AfterMemory;DiffTime;DiffMemory
TEntryEventSequence-0;20578045733444;20578131817448;13711320;14388760;86084004;677440
TEntryEventSequence-0;20579996312537;20580092508697;13726040;14402160;96196160;676120
TEntryEventSequence-0;20582134268597;20582272017592;13738120;14414248;137748995;676128
TEntryEventSequence-0;20583523991600;20583627245401;13744992;14421120;103253801;676128
TEntryEventSequence-0;20584991945529;20585110330890;13754008;14430144;118385361;676136
TEntryEventSequence-0;20586360372830;20586471653141;13764768;15102840;111280311;1338072
TEntryEventSequence-0;20587688599907;20587841171689;13772440;15773256;152571782;2000816
TEntryEventSequence-0;20589069762730;20589200001863;13858976;15197296;130239133;1338320
TEntryEventSequence-0;20590548232408;20590682901359;13872160;15212280;134668951;1340120
TEntryEventSequence-0;20592049986992;20592223153047;13882752;15222872;173166055;1340120
TEntryEventSequence-0;20593735361788;20593932735829;13898712;15899480;197374041;2000768
TEntryEventSequence-0;20595214637441;20595375782370;13913784;15914448;161144929;2000664
TEntryEventSequence-0;20596735803878;20596916061207;13928432;15928680;180257329;2000248
TEntryEventSequence-0;20598405398363;20598584963988;13946920;15947024;179565625;2000104
TEntryEventSequence-0;20600659336856;20600851957312;13967400;15967768;192620456;2000368
TEntryEventSequence-0;20601624530861;20601813234909;13978624;16644664;188704048;2666040
TEntryEventSequence-0;20603348830264;20603535274018;13993984;16660408;186443754;2666424
TEntryEventSequence-0;20604994450166;20605211531058;14015008;16681192;217080892;2666184
TEntryEventSequence-0;20606688317471;20606884729935;14033024;16699272;196412464;2666248
TEntryEventSequence-0;20608286080195;20608547305680;14050984;16717360;261225485;2666376
